observation_date,PCU2111112111113
2014/6/1,166.4
2014/7/1,159.6
2014/8/1,141.8
2014/9/1,145.4
2014/10/1,142.9
2014/11/1,137.8
2014/12/1,152
2015/1/1,114.9
2015/2/1,103.5
2015/3/1,104.5
2015/4/1,91.1
2015/5/1,91.2
2015/6/1,97.6
2015/7/1,98.1
2015/8/1,100.6
2015/9/1,93.8
2015/10/1,89.4
2015/11/1,76.2
2015/12/1,76.4
2016/1/1,84.4
2016/2/1,75.4
2016/3/1,57.9
2016/4/1,63.3
2016/5/1,67.4
2016/6/1,74.2
2016/7/1,102.3
2016/8/1,95.2
2016/9/1,101.8
2016/10/1,102.7
2016/11/1,95.1
2016/12/1,119.4
2017/1/1,140.8
2017/2/1,120.3
2017/3/1,93.6
2017/4/1,108.9
2017/5/1,108.3
2017/6/1,108.3
2017/7/1,103.7
2017/8/1,100.6
2017/9/1,100.5
2017/10/1,98
2017/11/1,95.9
2017/12/1,105.3
2018/1/1,101.3
2018/2/1,113.8
2018/3/1,85
2018/4/1,87.6
2018/5/1,91.6
2018/6/1,94.1
2018/7/1,95.6
2018/8/1,94.1
2018/9/1,96.2
2018/10/1,99.3
2018/11/1,114.8
2018/12/1,148.2
2019/1/1,114
2019/2/1,91.8
2019/3/1,87.2
2019/4/1,76.4
2019/5/1,73.1
2019/6/1,70.4
2019/7/1,67.6
2019/8/1,64.3
2019/9/1,68.1
2019/10/1,65.6
2019/11/1,77.6
2019/12/1,73.9
